source,target,link
927,35486,True
927,36727,True
927,40742,True
927,40822,True
927,45692,True
927,46084,True
927,46906,True
927,52201,True
929,30879,True
930,14483,True
930,14490,True
930,23818,True
932,1155,True
932,7301,True
933,12923,True
933,17324,True
934,3018,True
934,8029,True
934,8057,True
934,9593,True
934,10012,True
934,14561,True
934,15953,True
934,23862,True
935,2997,True
935,9606,True
936,4359,True
936,15996,True
936,16018,True
936,25095,True
936,27143,True
936,52582,True
937,4854,True
937,10021,True
937,15942,True
937,29359,True
939,9634,True
939,14775,True
939,16777,True
939,18442,True
939,47082,True
939,49238,True
942,6867,True
943,13069,True
943,14869,True
944,46199,True
946,18746,True
947,10182,True
947,22566,True
947,25009,True
947,26442,True
948,9955,True
948,15088,True
948,25036,True
956,10505,True
957,1381,True
957,1383,True
957,1391,True
957,22511,True
957,26377,True
957,26504,True
959,1188,True
959,1492,True
963,1736,True
963,1754,True
963,4661,True
963,4666,True
963,5051,True
965,1189,True
965,5157,True
965,17323,True
969,1057,True
971,986,True
973,980,True
975,985,True
975,4807,True
976,986,True
979,986,True
979,5586,True
979,6667,True
979,8144,True
980,3772,True
982,21870,True
986,7460,True
986,38538,True
991,3407,True
991,6309,True
991,6318,True
991,6321,True
991,6329,True
993,37854,True
994,9061,True
994,9481,True
994,41348,True
994,52054,True
1003,37030,True
1004,3399,True
1004,12563,True
1004,16259,True
1004,25872,True
1004,32086,True
1004,37181,True
1005,17341,True
1008,2886,True
1008,2887,True
1008,3208,True
1008,3218,True
1008,3222,True
1009,9576,True
1009,13433,True
1010,1937,True
1010,3595,True
1010,3686,True
1010,7792,True
1010,7835,True
1010,7837,True
1010,8205,True
1010,11942,True
1010,18581,True
1010,29636,True
1010,35687,True
1010,41965,True
1010,41966,True
1010,48891,True
1011,1288,True
1011,3236,True
1011,5878,True
1011,5963,True
1011,60106,True
1015,2643,True
1015,6343,True
1019,16751,True
1019,16755,True
1021,1337,True
1021,10397,True
1022,1175,True
1022,12336,True
1022,26943,True
1025,18534,True
1025,30683,True
1025,33822,True
1025,35576,True
1025,35899,True
1025,35902,True
1028,1361,True
1028,2617,True
1028,2737,True
1028,7003,True
1028,7954,True
1028,17645,True
1028,41543,True
1029,6375,True
1029,28528,True
1030,7748,True
1030,23803,True
1030,31577,True
1030,47592,True
1031,14320,True
1032,1501,True
1032,44109,True
1033,1183,True
1033,4468,True
1033,8993,True
1034,44109,True
1035,1047,True
1038,2814,True
1040,1049,True
1040,4247,True
1041,4275,True
1041,9091,True
1042,1729,True
1044,1164,True
1044,1729,True
1044,2785,True
1045,3278,True
1045,3930,True
